unix,date,symbol,open,high,low,close,Volume ETH,Volume USDT,tradecount
1.6376E+12,11/22/2021 16:00,ETH/USDT,4235.9,4246.78,4207.81,4232.01,64414.656,272515502.8,88374
1.63759E+12,11/22/2021 15:00,ETH/USDT,4242.25,4254.5,4225.37,4235.9,47149.003,199778968.4,85225
1.63759E+12,11/22/2021 14:00,ETH/USDT,4278.97,4299.94,4231.67,4242.24,92725.729,395264253.6,132098
1.63759E+12,11/22/2021 13:00,ETH/USDT,4178.76,4327.75,4128,4278.98,293686.006,1246450334,324279
1.63758E+12,11/22/2021 12:00,ETH/USDT,4173.26,4233,4166.75,4178.77,98201.288,412132731.8,124400
1.63758E+12,11/22/2021 11:00,ETH/USDT,4205.48,4213.69,4171.11,4173.25,32441.197,136107461.6,65499
1.63758E+12,11/22/2021 10:00,ETH/USDT,4189.41,4206,4166.09,4205.48,37151.877,155623988.8,75225
1.63757E+12,11/22/2021 9:00,ETH/USDT,4196.99,4236.53,4188.78,4189.33,46981.213,197924887.7,80073
1.63757E+12,11/22/2021 8:00,ETH/USDT,4188.93,4211,4186.01,4196.98,29105.384,122160774.4,64053
1.63756E+12,11/22/2021 7:00,ETH/USDT,4179.18,4218.8,4177.42,4188.65,49969.087,209942759.2,84790
1.63756E+12,11/22/2021 6:00,ETH/USDT,4184.72,4185.85,4160.47,4179.18,32696.26,136554786.2,59781
1.63756E+12,11/22/2021 5:00,ETH/USDT,4155.63,4184.73,4126,4184.72,69703.568,289638741.5,101909
1.63755E+12,11/22/2021 4:00,ETH/USDT,4167.33,4184.41,4148.44,4155.62,59231.616,246791908.8,88134
